Crack_Length_mm,KI,KII,KIII
11,9.2157,6.8034,6.8931
11,9.1735,6.8529,6.9542
11,9.1313,6.9024,7.0154
11,9.1619,6.9529,7.0233
11,9.1925,7.0034,7.0313
11,9.3531,6.974,6.8924
11,9.5136,6.9447,6.7535
11,9.2385,6.7158,6.7051
11,8.9633,6.4868,6.6567
11,9.187,6.5025,6.9763
11,9.4106,6.5182,7.296
11.5,9.7329,7.0417,7.1654
11.5,9.6994,7.0315,7.1561
11.5,9.6658,7.0213,7.1468
11.5,9.6215,7.0724,7.2102
11.5,9.5772,7.1234,7.2736
11.5,9.6093,7.1755,7.2818
11.5,9.6414,7.2276,7.2901
11.5,9.8098,7.1973,7.146
11.5,9.9782,7.1671,7.002
11.5,9.6896,6.9308,6.9519
11.5,9.401,6.6946,6.9017
11.5,9.6356,6.7108,7.2331
11.5,9.8702,6.727,7.5645
12,10.2054,7.2682,7.4235
12,10.1702,7.2577,7.4138
12,10.135,7.2472,7.4042
12,10.0885,7.2998,7.4698
12,10.0421,7.3525,7.5355
12,10.0758,7.4063,7.5441
12,10.1094,7.4601,7.5526
12,10.286,7.4289,7.4034
12,10.4626,7.3976,7.2542
12,10.16,7.1538,7.2022
12,9.8574,6.9099,7.1503
12,10.1033,6.9266,7.4936
12,10.3493,6.9433,7.8369
12.5,10.6989,7.5044,7.6854
12.5,10.662,7.4935,7.6754
12.5,10.6251,7.4826,7.6654
12.5,10.5764,7.537,7.7334
12.5,10.5277,7.5914,7.8015
12.5,10.563,7.647,7.8103
12.5,10.5983,7.7025,7.8191
12.5,10.7834,7.6702,7.6647
12.5,10.9685,7.638,7.5102
12.5,10.6513,7.3862,7.4564
12.5,10.3341,7.1344,7.4026
12.5,10.5919,7.1517,7.758
12.5,10.8497,7.1689,8.1135
13,11.2154,7.7519,7.9515
13,11.1767,7.7407,7.9411
13,11.138,7.7294,7.9308
13,11.087,7.7856,8.0011
13,11.036,7.8418,8.0715
13,11.073,7.8992,8.0807
13,11.11,7.9566,8.0898
13,11.304,7.9232,7.93
13,11.498,7.8899,7.7702
13,11.1655,7.6298,7.7145
13,10.833,7.3697,7.6588
13,11.1033,7.3876,8.0266
13,11.3736,7.4054,8.3943
13.5,11.7571,8.0127,8.2218
13.5,11.7165,8.001,8.2111
13.5,11.676,7.9894,8.2004
13.5,11.6225,8.0475,8.2732
13.5,11.569,8.1056,8.3459
13.5,11.6078,8.1649,8.3554
13.5,11.6466,8.2242,8.3648
13.5,11.85,8.1897,8.1996
13.5,12.0534,8.1553,8.0343
13.5,11.7048,7.8865,7.9768
13.5,11.3562,7.6176,7.9192
13.5,11.6395,7.6361,8.2995
13.5,11.9229,7.6545,8.6797
14,12.3263,8.2887,8.4966
14,12.2837,8.2766,8.4855
14,12.2412,8.2646,8.4745
14,12.1851,8.3247,8.5497
14,12.129,8.3848,8.6249
14,12.1697,8.4461,8.6347
14,12.2104,8.5075,8.6444
14,12.4236,8.4718,8.4736
14,12.6369,8.4362,8.3029
14,12.2714,8.1581,8.2434
14,11.9059,7.88,8.1839
14,12.203,7.8991,8.5769
14,12.5001,7.9181,8.9698
14.5,12.9254,8.582,8.7761
14.5,12.8808,8.5696,8.7647
14.5,12.8362,8.5571,8.7533
14.5,12.7774,8.6194,8.831
14.5,12.7186,8.6816,8.9086
14.5,12.7612,8.7451,8.9187
14.5,12.8039,8.8086,8.9288
14.5,13.0275,8.7717,8.7524
14.5,13.2511,8.7348,8.576
14.5,12.8679,8.4469,8.5146
14.5,12.4846,8.1589,8.4532
14.5,12.7961,8.1787,8.859
14.5,13.1076,8.1984,9.2649
15,13.5572,8.8951,9.0606
15,13.5104,8.8822,9.0488
15,13.4637,8.8693,9.0371
15,13.402,8.9338,9.1172
15,13.3403,8.9983,9.1974
15,13.385,9.0641,9.2078
15,13.4298,9.1299,9.2183
15,13.6643,9.0917,9.0361
15,13.8989,9.0534,8.854
15,13.4969,8.755,8.7906
15,13.0949,8.4566,8.7272
